Customer_Number__c,Name,ShippingStreet,ShippingCity,ShippingStateCode,ShippingPostalCode,Name,Days_of_service__c,Name,Sum of Total_Monthly_Contract__c,Resi/Comm,Active Contracts As Of
A-063363,Island Shores Condominium,2903 Northeast 163rd Street,North Miami Beach,FL,33160,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - Miami Beach,400,Commercial,1
A-067141,Canal Park,3323 Northeast 163rd Street,North Miami Beach,FL,33160,15 AFP Route Kymani P,"Every week on Tuesday, Thursday",AFP - Miami Beach,500,Commercial,1
A-067150,Namnum Residence,19001 Northeast 21st Avenue,North Miami Beach,FL,33179,15 AFP Route Kymani P,Every week on Monday,AFP - NW Miami,130,Commercial,1
A-067757,Windward II,1250 Northeast 125th Street,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,400,Commercial,1
A-068162,Solo Miami Residences,840 Northeast 130th Street,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Tuesday, Friday",AFP - NW Miami,375,Commercial,1
A-069833,Plaza of Americas Club Condo,17001 North Bay Road,Sunny Isles Beach,FL,33160,15 AFP Route Kymani P,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,1795,Commercial,1
A-067753,Clean Real Estate Investments Corp,400 Sunny Isles Boulevard #605,Sunny Isles Beach,FL,33160,2 AFP Route William A,Every week on Monday,AFP - Miami Beach,250,Commercial,1
A-037065,Palms Association of Alton Road,1025 Alton Road,Miami Beach,FL,33139,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - Miami Beach,213,Commercial,1
A-037713,Park Hotel LLC,355 19th Street,Miami Beach,FL,33139,22 AFP Route Ramon R,Every week on Tuesday,AFP - Miami Beach,241,Commercial,1
A-037714,Hotel Romina On The Beach,524 Ocean Drive,Miami Beach,FL,33139,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,274,Commercial,1
A-037740,Lighthouse Co-op Apartments,4730 Pinetree Drive,Miami Beach,FL,33140,22 AFP Route Ramon R,Every week o,AFP - Miami Beach,145,Commercial,1
A-037826,Bay Point Apartments,1830 South Treasure Drive,Miami Beach,FL,33141,22 AFP Route Ramon R,Every week on Tuesday,AFP - Miami Beach,252,Commercial,1
A-037831,Beach Place Hotel,8601 Harding Avenue,Miami Beach,FL,33141,22 AFP Route Ramon R,Every week on Tuesday,AFP - Miami Beach,295,Commercial,1
A-037832,International Inn,2301 Normandy Drive,Miami Beach,FL,33141,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,295,Commercial,1
A-037833,Gardens On The Bay,6484 Indian Creek Drive,Miami Beach,FL,33141,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,284,Commercial,1
A-037836,Bay Plaza Condominium,7125 Bay Drive,Miami Beach,FL,33141,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,236,Commercial,1
A-037900,9040 Collins Ave LLC,9040 Collins Avenue,Surfside,FL,33154,22 AFP Route Ramon R,Every week on Wednesday,AFP - Miami Beach,165,Commercial,1
A-037905,Belmont Condominium,10101 East Bay Harbor Drive,Bay Harbor,FL,33154,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,398,Commercial,1
A-037907,Regency Hall Condominium,1155 97th Street,Bay Harbor,FL,33154,22 AFP Route Ramon R,"Every week on Tuesday, Thursday",AFP - Miami Beach,222,Commercial,1
A-037913,Admiralty Inc.,10150 Collins Avenue,Bal Harbor,FL,33154,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,324,Commercial,1
A-037919,Montego Club Condominium,10180 West Bay Harbor Drive,Bay Harbor,FL,33154,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,265,Commercial,1
A-038044,2925 Indian Creek Drive LLC,2925 Indian Creek Drive,Miami Beach,FL,33140,22 AFP Route Ramon R,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,819.25,Commercial,1
A-038355,Venice Villas Condo (Eff. 1/1/24 Balancing Included),2233 Calais Drive,Miami Beach,FL,33141,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,281,Commercial,1
A-038358,WaterPoint Condo,3868 N.E. 169th Street,N Miami Beach,FL,33160,22 AFP Route Ramon R,"Every week on Tuesday, Thursday",AFP - Miami Beach,188,Commercial,1
A-038359,Sunny Shores Condo,3716 N.E. 168th Street unit 100,Miami,FL,33160,22 AFP Route Ramon R,"Every week on Tuesday, Thursday",AFP - Miami Beach,240,Commercial,1
A-038363,Bay Country Club,17720 North Bay Road,Sunny Isles Beach,FL,33160,22 AFP Route Ramon R,Every week on Monday,AFP - Miami Beach,289,Commercial,1
A-038364,Le Maisonneuve Condo,17700 North Bay Road,North Miami Beach,FL,33160,22 AFP Route Ramon R,Every week on Monday,AFP - Miami Beach,445,Commercial,1
A-038366,Arlen House,300 Bay View Drive,Sunny Isles Beach,FL,33160,22 AFP Route Ramon R,Every week on Monday,AFP - Miami Beach,871,Commercial,1
A-038503,Bahia Vista,1750 N.E. 115th Street,North Miami,FL,33181,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - NW Miami,675,Commercial,1
A-038504,North Gate Condo,1701 N.E. 115th Street,Miami,FL,33181,22 AFP Route Ramon R,"Every week on Tuesday, Thursday",AFP - NW Miami,650,Commercial,1
A-039807,Roof Top Hotel,803 5th Street,Miami Beach,FL,33139,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - Miami Beach,554,Commercial,1
A-045024,Sun Harbor Boutique Hotel,9576 Collins Avenue,Surfside,FL,33154,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - Miami Beach,325,Commercial,1
A-046624,Atlantic Towers,18100 Atlantic Boulevard,Sunny Isles Beach,FL,33160,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - Miami Beach,325,Commercial,1
A-056514,Le Cartier Condo,201 178th Drive,Sunny Isles Beach,FL,33160,22 AFP Route Ramon R,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,672,Commercial,1
A-057639,Winston Towers 400,231 174th Street,Sunny Isles Beach,FL,33160,22 AFP Route Ramon R,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,840,Commercial,1
A-066613,Beach Plaza South,2939 Indian Creek Drive,Miami Beach,FL,33140,22 AFP Route Ramon R,"Every week on Tuesday, Friday",AFP - Miami Beach,400,Commercial,1
A-068448,Park Isle Club Apartments,780 73rd Street,Miami Beach,FL,33141,22 AFP Route Ramon R,"Every week on Monday, Thursday",AFP - Miami Beach,725,Commercial,1
A-037414,Mystic Point Tower 600,3400 Northeast 192 Street,Aventura,FL,33180,23 AFP Route Juan C,"Every week on Monday, Wednesday, Friday",AFP - NW Miami,729,Commercial,1
A-037617,Island Terrace Condominum,5 Island Avenue,Miami Beach,FL,33139,23 AFP Route Juan C,Every week on Monday,AFP - Miami Beach,418,Commercial,1
A-037704,Byron Park Condo,7921 Byron Avenue,Miami Beach,FL,33141,23 AFP Route Juan C,"Every week on Tuesday, Thursday",AFP - Miami Beach,391,Commercial,1
A-037717,Georgian Condo,1621 Collins Avenue,Miami Beach,FL,33139,23 AFP Route Juan C,Every week on Monday,AFP - Miami Beach,452,Commercial,1
A-037721,Octagon Towers,1881 Washington Avenue,Miami Beach,FL,33139,23 AFP Route Juan C,Every week on Monday,AFP - Miami Beach,404,Commercial,1
A-037736,Pine Tree Palms Condo,4780 Pinetree Drive,Miami Beach,FL,33140,23 AFP Route Juan C,"Every week on Tuesday, Thursday",AFP - Miami Beach,195,Commercial,1
A-037824,Casablanca Villa Condo Associa,6362 Collins Avenue,Miami Beach,FL,33141,23 AFP Route Juan C,"Every week on Tuesday, Friday",AFP - Miami Beach,296,Commercial,1
A-037825,Tatum BPM Units LLC,7950 Tatum Waterway Drive,Miami Beach,FL,33141,23 AFP Route Juan C,"Every week on Monday, Thursday",AFP - Miami Beach,296,Commercial,1
A-037834,North Bay Villa,1801 South Treasure Drive,Miami Beach,FL,33141,23 AFP Route Juan C,Every week on Monday,AFP - Miami Beach,329,Commercial,1
A-037858,Lotos Townhomes BPM Units LLC,1101 101st Street,Bay Harbor,FL,33154,23 AFP Route Juan C,"Every week on Tuesday, Thursday",AFP - Miami Beach,220,Commercial,1
A-037899,Habitat Condo,1175 101st Street,Bay Harbor,FL,33154,23 AFP Route Juan C,"Every week on Monday, Thursday",AFP - Miami Beach,184,Commercial,1
A-037906,Bouganvillea Condo ** NEED SIGNATURE FOR WORK **,1065 98th Street,Bay Harbor Islands,FL,33154,23 AFP Route Juan C,"Every week on Monday, Thursday",AFP - Miami Beach,202,Commercial,1
A-037908,Harbour Bay Condo (Eff. 1/1/24 Balancing Included),10281 East Bay Harbor Drive,Bay Harbor Islands,FL,33154,23 AFP Route Juan C,Every week on Tuesday,AFP - Miami Beach,266,Commercial,1
A-037912,Oceanus Condo,1060 92nd Street,Miami Beach,FL,33154,23 AFP Route Juan C,"Every week on Monday, Thursday",AFP - Miami Beach,230,Commercial,1
A-037932,Venture at Aventura,18800 N.E. 29th Avenue,Aventura,FL,33180,23 AFP Route Juan C,"Every week on Tuesday, Friday",AFP - NW Miami,1148,Commercial,1
A-038360,Point East II Condominium,2895 Point East Drive,North Miami Beach,FL,33160,23 AFP Route Juan C,Every week on Monday,AFP - Miami Beach,587,Commercial,1
A-038365,Bayswater Court,2935 N.E. 163rd Street,North Miami Beach,FL,33160,23 AFP Route Juan C,"Every week on Monday, Thursday",AFP - Miami Beach,267,Commercial,1
A-038942,The Carriage House Condominium,5401 Collins Avenue,Miami,FL,33140,23 AFP Route Juan C,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,1086,Commercial,1
A-051626,Golden Pointe HOA,20946 Northeast 37th Avenue,Aventura,FL,33180,23 AFP Route Juan C,"Every week on Tuesday, Friday",AFP - NW Miami,806,Commercial,1
A-062659,Aidone LLC,1550 Meridian Avenue,Miami Beach,FL,33139,23 AFP Route Juan C,Every week on Thursday,AFP - Miami Beach,143,Commercial,1
A-069080,Point East One Condominium,2980 Point East Drive,Aventura,FL,33160,23 AFP Route Juan C,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,885,Commercial,1
A-036104,Villa Medici,1033 Northeast 17th Way,Fort Lauderdale,FL,33304,25 AFP Route Carlos S,"Every week on Monday, Wednesday, Friday",AFP - West Broward,347,Commercial,1
A-036138,Long Lake Ranches West,3181 Birch Terrace,Davie,FL,33330,25 AFP Route Carlos S,"Every week on Monday, Wednesday, Friday",AFP - West Broward,1064,Commercial,1
A-037136,Anchor Bay Club Condominium,300 Three Island Boulevard,Hallandale,FL,33009,25 AFP Route Carlos S,Every week on Monday,AFP - West Broward,647,Commercial,1
A-037326,Catalina Townhomes,288 N.E. 200th Terrace,North Miami Beach,FL,33179,25 AFP Route Carlos S,"Every week on Monday, Wednesday, Friday",AFP - NW Miami,884.15,Commercial,1
A-037945,"The Fairways Apartments, Inc.",400 N.E. 14th Avenue,Hallandale Beach,FL,33009,25 AFP Route Carlos S,Every week on Monday,AFP - West Broward,405,Commercial,1
A-037948,121 Golden Condo,121 Golden Isle Drive,Hallandale,FL,33009,25 AFP Route Carlos S,Every week on Tuesday,AFP - West Broward,284,Commercial,1
A-039060,Hampshire Homes,9985 West Daffodil Lane,Miramar,FL,33025,25 AFP Route Carlos S,"Every week on Monday, Wednesday, Friday",AFP - West Broward,465,Commercial,1
A-044993,Edgewater Condo,400  North Surf Road,Hollywood,FL,33019,25 AFP Route Carlos S,"Every week on Tuesday, Friday",AFP - West Broward,550,Commercial,1
A-047271,Motel 6 Ft Lauderdale,1801 West State Road 84,Fort Lauderdale,FL,33315,25 AFP Route Carlos S,"Every week on Monday, Tuesday, Thursday, Friday",AFP - West Broward,582,Commercial,1
A-051245,Bay Place Condo,2420 Diana Drive,Hallandale Beach,FL,33009,25 AFP Route Carlos S,Every  weeks o,AFP - West Broward,460,Commercial,1
A-051245,Bay Place Condo,2420 Diana Drive,Hallandale Beach,FL,33009,25 AFP Route Carlos S,"Every week on Tuesday, Thursday",AFP - West Broward,515,Commercial,1
A-054866,AHF-Broward Village,2275 West State Road 84,Fort Lauderdale,FL,33312,25 AFP Route Carlos S,"Every week on Tuesday, Thursday",AFP - West Broward,392,Commercial,1
A-062054,Riviera Park MHC,19900 Northwest 37th Avenue,Miami Gardens,FL,33056,25 AFP Route Carlos S,"Every week on Tuesday, Thursday",AFP - NW Miami,448,Commercial,1
A-066422,AHF- The Village at New River,1700 West Broward Boulevard,Fort Lauderdale,FL,33312,25 AFP Route Carlos S,"Every week on Tuesday, Thursday",AFP - West Broward,485,Commercial,1
A-069113,Stadium Hotel,21485 Northwest 27th Avenue,Miami Gardens,FL,33056,25 AFP Route Carlos S,"Every week on Tuesday, Thursday",AFP - NW Miami,850,Commercial,1
A-054124,Traymore Hotel,2445 Collins Avenue,Miami Beach,FL,33140,28 AFP Route Jean D,Every  weeks o,AFP - Miami Beach,0,Commercial,1
A-037607,Morningside Palm Condo,650 N.E. 61th Street,Miami,FL,33137,8 AFP Route Spartacus P,"Every week on Tuesday, Friday",AFP - Downtown Miami,198,Commercial,1
A-037616,Coinco Investment Co. Inc.,7801 North Bay Shore Drive,Miami,FL,33138,8 AFP Route Spartacus P,Every week on Tuesday,AFP - Downtown Miami,256,Commercial,1
A-037723,Bellagio Condo,421 Northeast 68th Street,Miami,FL,33138,8 AFP Route Spartacus P,"Every week on Tuesday, Thursday",AFP - Downtown Miami,311,Commercial,1
A-037929,Von-wedel Montessori School,11820 N.E. 13th Avenue,Miami,FL,33161,8 AFP Route Spartacus P,"Every week on Monday, Thursday",AFP - NW Miami,386,Commercial,1
A-038505,Siboney Gardens,1955 NE 135 STREET,North Miami,FL,33181,8 AFP Route Spartacus P,"Every week on Tuesday, Thursday",AFP - NW Miami,214,Commercial,1
