Customer Number,Name,Street,City,State,Zip,Start Date,End Date,Lifetime (Months) 
A-037826,Bay Point Apartments,1830 South Treasure Drive,Miami Beach,FL,33141,9/13/2018,,86
A-038365,Bayswater Court,2935 N.E. 163rd Street,North Miami Beach,FL,33160,7/23/2009,,196
A-037831,Beach Place Hotel,8601 Harding Avenue,Miami Beach,FL,33141,12/23/2009,,191
A-066613,Beach Plaza South,2939 Indian Creek Drive,Miami Beach,FL,33140,11/21/2024,,12
A-037723,Bellagio Condo,421 Northeast 68th Street,Miami,FL,33138,2/1/2022,,45
A-037719,Belle Plaza Condominium,20 Island Avenue,Miami Beach,FL,33139,9/6/2025,,2
A-037905,Belmont Condominium,10101 East Bay Harbor Drive,Bay Harbor,FL,33154,8/3/2016,,111
A-038484,Birchwood The Apartments,8940 N.W. 8th Street,Miami,FL,33172,9/1/1994,,374
A-067479,Blume Coral Gables,1501 Southwest 37th Avenue,Miami,FL,33145,3/10/2025,,8
A-067915,Bora Apartments,550 Northwest 51st Avenue,Miami,FL,33126,7/11/2025,,4
A-037906,Bouganvillea Condo ** NEED SIGNATURE FOR WORK **,1065 98th Street,Bay Harbor Islands,FL,33154,3/13/2018,,92
A-037217,Brickell 25,145 S.E. 25th Road,Miami,FL,33131,8/1/2004,,255
A-037704,Byron Park Condo,7921 Byron Avenue,Miami Beach,FL,33141,3/7/2024,,20
A-037600,Cachicamo Llc,3200 Mary Street,Miami,FL,33133,8/28/2013,,147
A-037216,Camden Brickell,50 S.W. 10th Street,Miami,FL,33130,5/17/2023,,30
A-037216,Camden Brickell,50 S.W. 10th Street,Miami,FL,33130,6/20/2023,,29
A-067141,Canal Park,3323 Northeast 163rd Street,North Miami Beach,FL,33160,1/26/2025,,10
A-052091,Canterbury Apartments Association,2186 Northeast 56th Street,Fort Lauderdale,FL,33308,7/11/2025,,4
A-038487,Casa Granada Condo Association (PP Speak with Diana before any new work),8701 S.W. 141st Street,Miami,FL,33176,8/30/2013,,147
A-037824,Casablanca Villa Condo Associa,6362 Collins Avenue,Miami Beach,FL,33141,7/12/2011,,172
A-055814,Catalina HOA,9861 Southwest 221st Terrace,Cutler Bay,FL,33190,5/11/2023,,30
A-037326,Catalina Townhomes,288 N.E. 200th Terrace,North Miami Beach,FL,33179,11/20/2024,,12
A-067753,Clean Real Estate Investments Corp,400 Sunny Isles Boulevard #605,Sunny Isles Beach,FL,33160,4/9/2025,,7
A-037224,Cloisters on the Bay Condominium,3471 Main Highway,Miami,FL,33133,3/5/2023,,78
A-036768,Coinco Investment Co Inc,1755 N.E. 164th Street,North Miami Beach,FL,33162,11/20/2024,,12
A-037616,Coinco Investment Co. Inc.,7801 North Bay Shore Drive,Miami,FL,33138,1/1/2021,,58
A-037950,Coral Haven Apartments,10255 Coral Way,Miami,FL,33165,9/1/1994,,374
A-042783,Cricket Club Condo,1800 N.E. 114th Street,Miami,FL,33181,5/12/2023,,30
A-037833,Gardens On The Bay,6484 Indian Creek Drive,Miami Beach,FL,33141,8/25/2016,,111
A-037717,Georgian Condo,1621 Collins Avenue,Miami Beach,FL,33139,6/30/2005,,245
A-067370,Gleneagles Apartments,17680 Northwest 67th Avenue,Miami Gardens,FL,33015,3/24/2025,,8
A-048971,Golden Isles 505 LLC,150 Sunny Isles Boulevard APT 505,Sunny Isles Beach,FL,33160,5/11/2023,,30
A-051626,Golden Pointe HOA,20946 Northeast 37th Avenue,Aventura,FL,33180,1/27/2023,,34
A-069107,Grove Loft Condominium Inc,3062 Bird Avenue,Miami,FL,33133,8/26/2025,,3
A-037227,Grove Towers,2843 South Bayshore Drive,Coconut Grove,FL,33133,10/18/2006,,229
A-037227,Grove Towers,2843 South Bayshore Drive,Coconut Grove,FL,33133,12/26/2023,,23
A-038485,Groves at Sunset,8818 S.W. 72nd Street,Miami,FL,33173,9/1/1994,,374
A-037899,Habitat Condo,1175 101st Street,Bay Harbor,FL,33154,1/3/2018,,94
A-039060,Hampshire Homes,9985 West Daffodil Lane,Miramar,FL,33025,2/10/2022,,45
A-037908,Harbour Bay Condo (Eff. 1/1/24 Balancing Included),10281 East Bay Harbor Drive,Bay Harbor Islands,FL,33154,4/4/2003,,271
A-037714,Hotel Romina On The Beach,524 Ocean Drive,Miami Beach,FL,33139,7/2/2008,,208
A-037832,International Inn,2301 Normandy Drive,Miami Beach,FL,33141,8/27/2010,,183
A-063363,Island Shores Condominium,2903 Northeast 163rd Street,North Miami Beach,FL,33160,2/23/2025,,9
A-037617,Island Terrace Condominum,5 Island Avenue,Miami Beach,FL,33139,1/30/2020,,70
A-037847,Key Biscayne Ambassador Condo,575 Crandon Boulevard,Key Biscayne,FL,33149,10/1/1999,,313
A-038502,Keystone Bay Condo Assoc Inc.,2640 N.E. 135th Street,North Miami,FL,33181,9/24/2003,,266
A-038482,Lake Terraces Apartments - (Eff. 1/1/24 Balancing Included),45 N.W. 203rd Terrace,Miami,FL,33169,6/28/2019,,77
A-056514,Le Cartier Condo,201 178th Drive,Sunny Isles Beach,FL,33160,6/21/2023,,29
A-038364,Le Maisonneuve Condo,17700 North Bay Road,North Miami Beach,FL,33160,9/2/2008,,206
A-037740,Lighthouse Co-op Apartments,4730 Pinetree Drive,Miami Beach,FL,33140,12/8/2017,,95
A-037223,Lofts At Mayfair,3339 Virginia Street,Miami,FL,33133,8/23/2020,,63
A-036138,Long Lake Ranches West,3181 Birch Terrace,Davie,FL,33330,11/4/2021,,48
A-037858,Lotos Townhomes BPM Units LLC,1101 101st Street,Bay Harbor,FL,33154,7/29/2011,,172
A-038499,Mariner Bay Club,12000 North Bayshore Drive,North Miami,FL,33181,3/13/2018,,92
A-039246,Mediterranea Home Owners Association,355 Ives Dairy Road,Miami,FL,33179,9/20/2023,,26
A-037608,Miami Jewish Home & Hospital,5200 N.E. 2nd Avenue,Miami,FL,33137,6/15/1998,,329
A-037608,Miami Jewish Home & Hospital,5200 N.E. 2nd Avenue,Miami,FL,33137,8/15/2022,,39
A-037919,Montego Club Condominium,10180 West Bay Harbor Drive,Bay Harbor,FL,33154,3/23/2001,,296
A-037607,Morningside Palm Condo,650 N.E. 61th Street,Miami,FL,33137,1/20/2023,,34
A-047271,Motel 6 Ft Lauderdale,1801 West State Road 84,Fort Lauderdale,FL,33315,8/11/2022,,39
A-037414,Mystic Point Tower 600,3400 Northeast 192 Street,Aventura,FL,33180,11/1/2022,,36
A-067150,Namnum Residence,19001 Northeast 21st Avenue,North Miami Beach,FL,33179,1/29/2025,,10
A-037834,North Bay Villa,1801 South Treasure Drive,Miami Beach,FL,33141,9/1/1994,,374
A-038504,North Gate Condo,1701 N.E. 115th Street,Miami,FL,33181,5/28/2025,,6
A-037912,Oceanus Condo,1060 92nd Street,Miami Beach,FL,33154,2/2/2015,,129
A-037721,Octagon Towers,1881 Washington Avenue,Miami Beach,FL,33139,8/2/2005,,243
A-038475,Ola Condo,15201 N.E. 6th Avenue,North Miami,FL,33162,7/17/2024,,16
A-037065,Palms Association of Alton Road,1025 Alton Road,Miami Beach,FL,33139,9/8/2021,,50
A-037713,Park Hotel LLC,355 19th Street,Miami Beach,FL,33139,4/13/2018,,91
A-068448,Park Isle Club Apartments,780 73rd Street,Miami Beach,FL,33141,6/13/2025,,5
A-037736,Pine Tree Palms Condo,4780 Pinetree Drive,Miami Beach,FL,33140,3/13/2006,,236
A-069079,"Point East Council, Inc",2909 Point East Drive,Aventura,FL,33160,10/9/2025,,1
A-038360,Point East II Condominium,2895 Point East Drive,North Miami Beach,FL,33160,1/15/2019,,82
A-069080,Point East One Condominium,2980 Point East Drive,Aventura,FL,33160,9/24/2025,,2
A-055771,Portofino Townhouses,751 Northeast 195th Street,North Miami Beach,FL,33179,5/23/2023,,30
A-037907,Regency Hall Condominium,1155 97th Street,Bay Harbor,FL,33154,7/12/2001,,292
A-062054,Riviera Park MHC,19900 Northwest 37th Avenue,Miami Gardens,FL,33056,11/20/2024,,12
A-055954,Robert Sharp Towers I & II,103 Northwest 202nd Terrace,Miami,FL,33169,5/17/2023,,30
A-039807,Roof Top Hotel,803 5th Street,Miami Beach,FL,33139,3/21/2022,,44
A-037219,Sail Condo Association Inc,170 S.E. 14th Street,Miami,FL,33131,1/14/2024,,23
A-038505,Siboney Gardens,1955 NE 135 STREET,North Miami,FL,33181,7/19/2005,,244
A-068162,Solo Miami Residences,840 Northeast 130th Street,North Miami,FL,33161,7/6/2025,,4
A-069113,Stadium Hotel,21485 Northwest 27th Avenue,Miami Gardens,FL,33056,8/27/2025,,3
A-066432,Summer Grove Apartments,"10319 SW 24th St, Miami, FL 33165",Miami,FL,33165,10/31/2024,,13
A-045024,Sun Harbor Boutique Hotel,9576 Collins Avenue,Surfside,FL,33154,1/3/2024,,22
A-038359,Sunny Shores Condo,3716 N.E. 168th Street unit 100,Miami,FL,33160,4/16/1998,,331
A-037825,Tatum BPM Units LLC,7950 Tatum Waterway Drive,Miami Beach,FL,33141,9/19/2011,,170
A-038942,The Carriage House Condominium,5401 Collins Avenue,Miami,FL,33140,2/7/2022,,45
A-037945,"The Fairways Apartments, Inc.",400 N.E. 14th Avenue,Hallandale Beach,FL,33009,1/18/2020,,70
A-062369,Three Horizons Recreation Center,1465 Northeast 123rd Street,North Miami,FL,33161,11/28/2023,,24
A-038477,Three Seasons Condo,16400 N.E. 17th Avenue,North Miami Beach,FL,33162,7/27/2007,,220
A-053085,Towerside Terrace,1319 Northeast 105th Street,Miami Shores,FL,33138,6/22/2023,,29
A-054124,Traymore Hotel,2445 Collins Avenue,Miami Beach,FL,33140,12/1/2023,,23
A-038355,Venice Villas Condo (Eff. 1/1/24 Balancing Included),2233 Calais Drive,Miami Beach,FL,33141,12/4/1998,,323
A-037932,Venture at Aventura,18800 N.E. 29th Avenue,Aventura,FL,33180,1/1/2021,,58
A-061995,Victory Gardens,650 Northeast 149th Street,North Miami,FL,33161,11/9/2023,,24
A-036104,Villa Medici,1033 Northeast 17th Way,Fort Lauderdale,FL,33304,11/3/2021,,48
A-037929,Von-wedel Montessori School,11820 N.E. 13th Avenue,Miami,FL,33161,1/1/2021,,58
A-038358,WaterPoint Condo,3868 N.E. 169th Street,N Miami Beach,FL,33160,6/8/2016,,113
A-038377,Wendover Condo,13101 Memorial Highway Apt 105,North Miami,FL,33161,2/3/2006,,237
A-038374,Windward I,1225 N.E. 124th Street,North Miami,FL,33161,4/26/1999,,319
A-067757,Windward II,1250 Northeast 125th Street,North Miami,FL,33161,4/24/2025,,7
A-057639,Winston Towers 400,231 174th Street,Sunny Isles Beach,FL,33160,10/5/2023,,25
A-038372,Woodlands Condominiums,14351 Memorial Highway,Miami,FL,33161,5/3/2019,,78
A-046880,Woodside Apartments Association,16950 West Dixie Highway,North Miami Beach,FL,33160,5/14/2022,,42
